,Negativity,Sentences
6870,1,i miss the old ha ha i can't tell that person's name
6871,1,there is no sale in botega
6872,0,thanks iphone you kept me up till am asshole
6873,0,wow we r watching the outsider smelly english
6874,0,yeah
6875,0,ehhh scratch laying out no sun going out to lunchhhhh
6876,1,the neighborhood gas station is gone kaput out of business no more convenient trip for ice or whatevs over mile now to travel
6877,1,ahh normally i would jump at that but i'm manning the office solo today
6878,1,i'm freezing in math class
6879,0,turn on june no more a youth shelton for my bday is going to snag me a piece of mancandy miss u everyday my hot chocolate lt
6880,1,last day i'm la i am so so sad
6881,0,i really wanna play
6882,0,yeah they got qualifyin in this whole race is tape delayed
6883,1,gah buddy k is a must hang with person right now i miss him along with parker and mcphee
6884,0,yeah one burrito did not taste like the other there wa no avocado ranch sauce
6885,1,i have a feeling today is going to be very boring work till
6886,1,going home but when i get home black berry woo hoo and get to see presten lt
6887,0,going home but when i get home black berry woo hoo and get to see presten lt
6888,1,been working on my freakin' computer trying to save stuff on a harddrive and it seems i failed miserably
6889,1,oh i hate friday evening
6890,1,kerry threw a ball at anand it bounced off his head landed on my lunch and it exploded everywhere
6891,1,taking care of sick child
6892,1,getting my hair cut todayyyy i'm nerrrvous
6893,0,love u and love mr player come visit me i miss u girl
6894,1,oh i forget thing you see ahah i hated that it creeped me out
6895,1,i'm going to work bummer
6896,0,you gave me the inspiration for my last update
6897,1,i have tummy ache probably not helped by eating that many tic tacs
6898,1,went on a really long cycle ride with my mum brother and my bff han today my bum ache now
6899,1,weather suck up here
6900,0,u wack put a swimsuit on and regular pant at least
6901,1,feel very ucky today i need more defense vitamin water because i don't want to be sick no more
6902,0,oh noesss senior last day however tickling will till he wa on the floor giggling made it totally worth it plus a senior sandwhich
6903,0,i asked mum bout going out tommorow she laughed in my face lmao
6904,1,ugh i can't breathe right today
6905,0,thinking of you why we can t control our thought
6906,1,back to work
6907,1,on my way to ft knox
6908,0,man i cant go on sunday cause im helping out all day at the piano recital this suck
6909,1,wow the last hour of twittering that i've been doing ha yet to be sent over to twitter guy bare w me
6910,1,got my hair cut great stupid gum
6911,1,my computer at work is not working booo need a new one tgif
6912,1,is asking that everyone please join me in praying for my mom she just got home from the er and ha to go see a heart doctor
6913,0,say it isn't so
6914,0,eh have u never heard of belfast where like everyone love you
6915,1,i've been unlocked for decade now just not lucky never have been gottta make my own luck and that involves
6916,0,mmm nandos is good y and topshop rule i am actually devastated that i cant come to to london show quot m quot bailed out
6917,1,regrettin some of the decision i made
6918,1,i couldn't remember what all the different cord meant i lost half of them leaving the graduation anyway
6919,0,think revising in the garden from this morning without sunscreen isnt the best idea ive had oucccccccch
6920,0,i'm in a pub garden it boiling hannah no likey
6921,0,the portuguese national library could use it also right now they seem to be in a ca web example
6922,1,you suck majorly i'm swamped so why am i on twitter i don't know but still a golf tournament
6923,1,she maybe that wa our first mistake not everyone is a cool a brown nose moment
6924,1,you burned yourself too so did ohh no xoxo
6925,0,i hate my arrival in the employee parking lot
6926,0,yes i work to
6927,0,the wife aunt th
6928,0,want to buy really red lipstick but i won't wear it that often
6929,0,no more mtn dew in mini fridge
6930,0,hotttt weather getting blackk before it start to rain again
6931,1,at work and it suck big time
6932,1,saying goodbye to a good trusted friend today goodbye free sky tv you were the best friend anyone could have had
6933,0,work do not feel like bein in dis bitch today
6934,1,ouuhh dont cry i feel so sad right now
6935,0,new baby doing well i will be attempting to do some more quot painting quot this weekend
6936,1,crappy day
6937,1,i'm still at work
6938,0,at work again when the weather is beautifullll
6939,1,i wa meant to be seeing you lot tonight but tix ran out
6940,1,ha the urge to go shopping hmmm but i've got no money how
6941,0,well on a normal day i'd already be done with work unfortunately this is not a normal day which mean i'll be in the office till late
6942,1,well poop my guitar lesson wa canceled today i'm so sad i hope his son feel better soon tho
6943,1,omg you guy will know when i'm getting nasty my head hurt
6944,1,back at the vet and it isn't good
6945,1,everyone's abandoning the office i still have hour to go
6946,1,waiting in a long line at chick fil a
6947,1,we are in line now waiting if only he knew
6948,1,i need a blankie this train an icebox
6949,1,i love you don't leave me
6950,1,so people all on the same wi fi and cell hub here at mean we're kinda off the grid each tweet take like minute
6951,1,came home after getting ratty in a shop with the staff and a blister on the foot meh
6952,1,shaw guy are over when i want to be sleeping
6953,1,well poop look like the office doesn't have the key i don't have the key neighbor don't have the key bike ride from now on
6954,1,now i know why it didn't work just not too keen on paying though for a ndary social network
6955,0,went to get my car inspection sticker got gigantic red r one just keep piling it on i can take it don't worry about me i'll be ok
6956,1,my tummy hurt
6957,1,just contributed to economic stimulus at wal mart un expected tire replacement
6958,1,laundry instead of sitting here that darn laundry keep mocking me
6959,0,lucky been beggin for jury duty for year they dont ever send me notice just notice for other people to my address
6960,0,i have a headache
6961,1,i'm so lost without my laptop and no break again for me today made even worse that the big boss of skipton showed up today
6962,1,and i cant get to mine keep getting an error
6963,1,math is amazing and hell at the same time socialily that is the naiv part is fine
6964,1,we miss you
6965,0,wish i can be with her every day
6966,0,ano pa bang aasahan ko sa iyo you never fail to fail me
6967,0,yes sober hahaha tanghaling tapat dude haha wild i don't knowwww plan plan before you go to u
6968,0,gadgetopia need to dm you but you're not following me will send email
6969,1,flip flop are a menace i've cut one of my foot ouchies
6970,0,weekend even though i have work
6971,0,at the office trying to solve the mystery of whose blood is that in the bathroom toilet eewwwww
6972,0,aoh is one of the best band they played my frosh i wa stoked i have to work tonight or else i'd totally be there
6973,0,the best i could do for proof of the crack lol
6974,1,wa talking to vincent miss him so baadly
6975,0,i would but he's premiering avatar footage and can't do it then also we better hang out
6976,1,i think a cat is trapped in my back garden but cant find it hopefully it in someone el garden dont fancy finding a poorly cat
6977,1,i don't have enough close contact on twitter to do follow friday followfriday
6978,1,that suck
6979,1,mourning venus' third round loss
6980,1,ugh some stupid teenager just showed up my peaceful time is over
6981,0,grr everytime he get a new girlfriend i'm at the bottom of the totem pole
6982,1,i have been sick for like day now
6983,0,wow atleast u only have three week i have two month to go are u going away
6984,1,i'm sorry to hear that
6985,0,to all member of cf check your facebook in computer immediately a sweet video from gulardi is waiting for you all made me teary
6986,1,panera is not being nice to my iphone
6987,1,just here at work just got out of a meeting with my staff i had to be the big bad bos today
6988,1,easy for you to say you walk away first i'm sorry but i'm not ready yet i haven't finish caring for you
6989,0,o dear so you're going to be fucking that kiddoe and i'm going to sit there doing nothing awesome wheres the shopping lt
6990,1,what's the matter
6991,1,no it's just going to be me we couldn't come up with enough money to get his ticket
6992,1,why the hell is it raining i hate the rain
6993,1,i am craving burrito boy large halibut with everything on it no jalepenos line hot sauce can anybody hook me up
6994,1,ok guess i need to do actual work now how long until pm oh no i may have to ditch early
6995,1,i failed at cutting and peeling the mango hah it wa weird trying and my father did it like it wa nothing
6996,0,mymaths time if only i cud read the mind of a nerd durin the exam
6997,0,is almost pacing while waiting for ups truck with my package from ichiban kan probably not until est
6998,1,i miss her i hope she come back
6999,1,isn't lookin ward work mz n if it gna b like day weatherwise itl b even worse xo
7000,1,i hope he is ok too i miss him and the doc better not be a douchenozzle ill be one right back
7001,1,like almost above my sholders
7002,0,hug to hubby i'll probably be in the same place come the st of september
7003,1,ew sorry zach
7004,1,i agree it's a great day if only i had a window to see it
7005,0,
7006,0,actually by the time i get there the train would have arrived
7007,0,starting the account for this year
7008,1,wow mosquito in the backyard suck so doe coughing myself half to death in the middle of the night and keeping cassidy awake too
7009,1,i'm not goin have a way out there til b dix get off but we swimming tomorrow
7010,1,gonna have to eat something i feel so horrid i need a hug
7011,1,trip to dc next week canceled so no artomatic or beer with
7012,0,akh i woke up and missed so much of sayed hassan's speech
7013,0,i just got a wiff of pazik fart
7014,0,wow some person u are
7015,0,weekend with my cuzzo vivi i can't stand to have her leave me in week
7016,1,i'm going on an excursion this week so i won't be twitting
7017,0,i also have to make space on my computer for the game i don't meet the minimum requirement for sims at the moment
7018,0,need some snuggle time but ha to get through the work day first boo
7019,1,my back hurt and i'm meant to be going out tonight poor the rik
7020,1,waiting for nearly an hour at the bank
7021,0,headache suck especially stress related one i used to get those a lot lt
7022,1,you can crash you will just have to drive alone besides i can't crash i gotta work lol
7023,0,yay at least i'll get to see you next year i'm sad too
7024,0,just got done working with nate today got another yippee he's going on vacation next week so i have to brave calc on my own
7025,0,dinner amp shower time then back to revision day left
7026,0,ok time to study for bus law and ethic gotta test today
7027,1,yes it went down smooth too bad i have to get back to work though how are you enjoying your friday
7028,0,playing hooky from work again so we can go see up i hope we get along
7029,1,i'm not donating sweetie i wa at the doctor
7030,1,ahhhh same here with geometry like i said b if i didn't have it i would be graduated so i feel ur pain hun
7031,1,snotty nose poorly chest this is not good
7032,0,i wish i had a dog
7033,0,comon answer me what do you think about my friend drawning x
7034,1,what's wrong
7035,0,home from taking nick home a little lighter in pocket after being flashed by a speed camera
7036,1,i can't comment directly to someone and i'm here all alone
7037,1,i hate getting put on steroid my face
7038,0,followfriday thank you so much i'm so behind still at about half of what i had
7039,1,lol clever i'm extremely jealous of the amount of follower you have i only have
7040,0,i cant even call a nigga man bitch on bogus shit yah digg
7041,1,oh my goodness how awful
7042,1,i guess that mean you didn't beta read either of my story huh
7043,1,we are so sad the beautiful marisa dress are leaving today tear
7044,1,i keep trying but no i didn't win had the right answer though trick question
7045,1,refusing to accept that the u holiday is over heading to woodies longboard diner in um hove
7046,1,just got back home shit again meeting tmrw staying at sea view i even dont my fresh undergarment tiring hr working day
7047,1,manchester wa wayyyyy to busy so warm today also '
7048,1,i lost friend when i didnt do anything
7049,1,what's up my homieeeeeeeeeee i miss you live last night i hope your on tonight i will hit you up cutie
7050,1,day off with nothing to do
7051,1,bad day
7052,1,got any tip for a mum of a yr old with cf who can't sleep at night he fall asleep about a m till midday or so
7053,1,waiting for to wake up hazin a sad
7054,1,wish i wa eating lunch w and
7055,1,is gutted she isnt going out tonight
7056,0,boo i can't sleep again saying hi to random people
7057,0,feeling madly sorry for myself i m seck d make me feel better i should be going to a fashion show
7058,1,i wa off by one year i really wanted some of jamies cooking book in english not german
7059,0,i kinda like not having a car but there have been situation lately where i have been prevented from participating due to my carlessness
7060,1,ooh if youre on the computer making your playlist come online pls im bored now that ive blocked everyone again
7061,1,twenty minute on a fucking call you would think that the person would mention there is already a trouble ticket investigating the issue
7062,0,back with a great time spent with my cousin technically uncle and aunt also had an icecream it dint taste that good
7063,1,momz rubz it in tht im not goin to the musiq soulchild contest how rude
7064,0,off to work for the day
7065,1,oh i'm sorry you'll have lot of fun though should be a great time
7066,1,murphy's law sorry that your computer is not cooperating when you have lot of work my kid are
7067,1,i kno i'm behind the time on this one but i just learned that troy quot t bag quot dixon died back on dec th rip troy
7068,1,so much to do by pm i don't think i'm going to get it all done
7069,1,so it my bday weekend and shit is already headed south might have to drive to atl tonight
7070,1,with e coming up the worst possible thing happened no not swine flu not aid rrod
7071,0,toooooom do a tour in the philippine pleeease i'm risking my health to get your reply haha
7072,0,there is a sadness in the air at school but i got two award
7073,1,god i hate scary movie they are not at all i'm such a wimpy
7074,0,sad about young love coming to an end they were sooo cute together
7075,0,today isn't going the way i planned early lunchbreak amp i may not be back til mon weekend gonna be fun with friend tho
7076,1,starting pn lean coaching next week can't wait i'm about compliant right now pnlc
7077,0,nothing bout go work
7078,1,worried for my cousin and her son
7079,1,oh i'm so sorry i feel your pain i can't kill them either and i'm always the one that find them why is that
7080,1,i wish i could buy blink presale ticket but i totally don't have the money right now guess i have to wait for general admission
7081,0,im craving some cinnamon toast crunch why is it so cold today
7082,1,damn
7083,0,friday i gotta work tommorow tho
7084,1,aww me sry that wa me yesterday
7085,0,i need to buy a cheap verizon phone
7086,1,ahh i hate being sick watching atonement and sleeping
7087,1,i hate june gloom i wa getting so excited for the beach
7088,0,excited for today but still so much to do
7089,1,week before the palm pre come out and my centro dy i have a temp phone but my contact aren't transfered yet sadpanda fb
7090,1,sleep i need to go to my mum but by the time i get there clara will be in bed
7091,1,omg my head still hurt i need to get my comic today so i got to hurry lol
7092,0,gah didn't realize my meeting wa from
7093,1,just burned my tongue
7094,1,is sad cuz my mommy leaf to indy today
7095,1,i'm off to a fun filled evening at a funeral home joy
7096,1,staging consult ltr day in beautiful town of dundas x file filmed episode there once think i'll run in david duchovny probably not
7097,1,ugh the delivery wa postponed shes not having the baby til and i'll be at work
7098,1,at work my head hurt a little due to my neck i hate when i sleep wrong
7099,1,lol thanks there scary to wear though
7100,0,done with exam now focusing on summer school dayuumm life's hard
7101,1,wish u wa in the d
7102,0,missed the hello kitty not enough time oh well
7103,0,ah i'm so sorry it i played a game of psp with my friend tonight and returned a while ago
7104,0,womp womp woooomp
7105,1,well i guess the mccafe taste like shit cured ur craving you get the mcskillet me want
7106,0,a long a you take me with you
7107,1,haavent read the paper yet about the magic loss nor did i get to watch the game last night but i do know that we lost
7108,0,sitting next to a man with a kindle ii i don't know if i've ever been this jealous
7109,1,i feel sick after that oreo and cheesecake milkskake lol
7110,1,i haven't logged onto minto com in like month and what i saw upset me gotta do better
7111,1,god i hate scary movie they are not fun at all i'm such a wimpy
7112,1,bummed about the maxi dress i think they're so cute for summer but i'm only ' quot
7113,1,that is never good especially on a friday night
7114,1,shit that is awful could not believe it at first so sad
7115,0,why do we need to wait another year for toy story
7116,1,haha sorry to hear that
7117,1,can you fedex me some pizza i have to cancel my nyc trip until later this summer
7118,1,ebay should just die after not using my account for year i cant unlock it and their support is dead aka auto hello script
7119,0,heading to sam adam brewery but can't sample it when i get there
7120,1,ned to go to beathroom don't know if i can reach find clothes need to walk outsie to get to bathroom ok at night not ok in daylight
7121,0,help me find my mising pugsly
7122,0,im soooo loney
7123,1,hope that migraine doesn't stick around for too long
7124,0,blerrrrrrrrrrgh im too hot and all sticky
7125,0,i want to go to vp but no one is willing to come with me
7126,1,sunburn ouch
7127,0,say hello to marina green couldn't participate in barcelona this weeken
7128,1,asap but kid are asleep i have a car seat for arianna we can take her with u i need to pay v bill
7129,1,u just got me real excited cause i thought teniece wa on twitter
7130,1,nor here sad time
7131,1,ive tried and tried in the past to learn cockney but sadly it near impossible to find book and thing on it over here
7132,1,this is a travesty
7133,1,freakin day just a thought what would i have to look forward to after this
7134,1,hows that possible no rain forecast for pinkpop and i have no ticket
7135,1,oh god that's terrible
7136,1,hate leaving teddy now i'm miss both my boy damn
7137,1,curse bad timing we'll make it happen soon though
7138,1,my computer got screwed to hell by virus i just finished wiping the drive and reinstalling window xp i want a mac
7139,1,would defo have done that but im already booked over t'other side of the country
7140,1,so not in the mood to go to work but i guess it's gotta be done
7141,0,i really want to go to the concert tomorrow
7142,0,home until tomorrow did my running and spinning now time for chiropractor laundry shopping and visiting family missing nathan
7143,0,no one i know like boiled peanut t
7144,0,ooo growl and yummy time coming soon for you too huh oh yeah i have been hunting for a combo tshirt think i can find one no
7145,0,played friendly gm today bulgaria def is on pt offensively still working on timing israel on sun gotta cut more player
7146,0,yeah i'm not really feeling it either of course i don't like the movie line i wish that we were getting more animated
7147,1,left school just now my new dress broke the strap ripped off
7148,0,tps report
7149,1,i have a lot of hell yeah and rebel meet rebel dac pantera and like pantera song i can't find my cowboy from hell cd
7150,1,pup i would love to butt i will be saving life saturday night although i know i am missing a blast
7151,0,a short hour left to go at work
7152,1,nah could use a hug or three but even that option is mile away
7153,0,noooo fb ha been good to me especially for the love of conversation
7154,1,i guess it wasn't meant for me to change it
7155,0,lol that'll teach me to blindly trust amazon search result without reading
7156,1,that's at least a band aid that pa follows me make me feel le left out of the loop
7157,1,wishing the rain would stay away for a while so that i can go to the pool
7158,0,not yet did you
7159,1,got the key to my new flat gorgeous weather for weekend and i'm spending it quot packing quot
7160,1,is it too late to jump on a plane to richmond va and go to the condition concert i think that's a yes boo my life and ohio
7161,1,it look a though i am sick little friend
7162,0,o o thats cool dang ihave to clean my room now lol but good luck w those job gurl
7163,0,am planning on going to sleep early too tired to do any work
7164,0,wzzzzzzzzzup it derrek we r just starting band practice jayk skylar is leaving for california today lucky
7165,1,dang just so far away aren't i darn i'll just have to dream
7166,0,making my boyfriend look different he's cute no matter what lt
7167,1,i miss my babyyy
7168,1,workk yay
7169,1,wow just saw your tweet about the proflowers fiasco that's so not fun
7170,1,i wish you were here to take care of me
7171,0,spent too much today tube journey always take soo long brace on thursdayyy
7172,0,yea it nice but im only here for a weekend
7173,0,woohoo procrastinating doing any work by going out to lunch have to wait for my sister now though dang it
7174,1,because i just lost my first field note notebook page before filling it up rip fieldnotes
7175,0,must get up
7176,1,hate not being able to see his monitor i have about minute before the sun is not blinding me
7177,0,doesn't kno wat to do now er is over saddo
7178,0,so you're the reason i can't get a boc
7179,1,but i'm sure you'll find a new set of challenge at twitter best of luck
7180,0,just looked at the date today the one year anniversary of my grandmother miss her mane um sad
7181,1,i cried like a baby when we had to put our cat down year ago for tear of happiness watch this
7182,0,i would love to ride the superman right now
7183,1,ohhhh that make sense then d and i need to reread the lotr trilogy i lost the three book a long time ago and i'm sad
7184,1,cost of living also very cheap but no social life that's what i'm scared of being boring and having a dull life
7185,1,i am up and having to deal with another rainy day what the hell happened to summer it so freakin cold
7186,1,didnt enjoy having to say goodbye to alex v emotional time but the sun is making me happy
7187,0,aww just read your tweet i'm not sure about later either work too feel it for u
7188,1,very bummed i can't go to the open house today dd and i woke up with a stomach bug blech y'all have fun
7189,0,im sowwie i wa a lil late lol it looked good though
7190,0,why did i ever delete my twitter
7191,0,i kno i came in coz the sun kept going behind the cloud but now it ha come back sat in my window now on the floor lol
7192,1,brother is wandering around the house in his underwear a charming for his sister a it is for the other female guest i'm sure
7193,1,i don't want to lose my wisdom teeth they make me wise i will soon be without a trace of wisdom
7194,1,is trying to buy a new bible but they just aren't the same why did my dog have to chew it up
7195,0,photo so i still havn t hooked up my editing comp i know you guy miss my artwork so i ve decided to
7196,1,victor drew hannah montanna in my yearbook hahaha i'm going to miss my nd per so much
7197,1,damn stephane doesn't even feel sorry for me off to work then
7198,0,it wa really good sally you should have beeeeen there xxxx
7199,0,excited to see the girl today it boring at work without you
7200,0,that little girl still holding her phone while tear are pouring out of her eye
7201,1,suddenly sick with the flu and quite sad about it
7202,0,got a case of the bubbly
7203,1,is she in grade i can't do my daughter grade math soo sad
7204,1,just got to work today is going to be another long as day
7205,1,i don't like this bang i want my hair back
7206,1,dis damn usb charger is good for nothin gotta find that verizon store my fone been dead since last nite
7207,1,i'm glad i don't have class on friday i need the break algebra test on wednesday
7208,1,spent the whole day editing in pro tool i luvvv this thing and am becoming quite the pro but it give me insane headache
7209,1,oh no thats no good i pierced my bottom lip on the right side myself in th grade but we had a no piercings dress code
7210,1,im so very sad that i am at work today and cant win ticket
7211,1,it might be the swine flu haha 'cause i've got the flu
7212,1,the sun burned me today my arm look angry party tonight tho babe woop
7213,1,so sad john cryer's ex wife sarah trigger charged with abusing their son he had rope mark around his neck
7214,1,walking to class i hate not having a bike especially mine
7215,1,i need to get in a good hard workout today after work i feel like i've been slacking no good
7216,1,this poor butterfly wa dead
7217,1,bloody exam next week
7218,0,not sure i think my revision effort need to be s until monday
7219,0,the start of my day wa finding a lump on my body went to the hospital apparently it nothing fewfffff bloodtests suck haha
7220,1,this is a joke surely
7221,1,i love it tell me it didn't match my shirt perfectly can you just not move please what am i supposed to do without you
7222,1,am i the only one experiencing problem logging into digital point forum
7223,0,i found out thro mama
7224,1,it's sunny and hot in london today while i sit in office cranking spreadsheet
7225,1,i'm here jdubb is his funky job i guess we're neglected
7226,1,bsnl stupid net went down been without email for a whole day
7227,1,why aren't you following me you bastard you're my own brother
7228,0,jared's wearing a green shirt sparkly eye yee i hear asylm is highly disorganized hang in there
7229,1,seems like u r just pushing your wcm site i really cant beleive you are an it pro and havent heard of joomla or drupal
7230,0,i agree everybody would've been excited and then it go ohhhh nooooo m screw up again
7231,1,is working all weekend
7232,1,i'm totally impressed i could only wish to be an otaku instead i just get horrible nosebleed when i see bishonen
7233,1,ehh carnt stand hot weather
7234,0,i did wake up but i appear to have missed you by not much
7235,1,ugh feeling sick to my stomach and i have five more hour of work to go
7236,0,yes i am i have r more hour to go
7237,0,i have nothing witty to say
7238,0,thank you sana matanggap ako
7239,1,beer garden ipod friday night shame i've got to work tomorrow
7240,0,is revisingg
7241,0,wish i could say the same about the weather in mumbai it hot n horrible but guess it friday so one reason to be
7242,1,oh no whats up chuck
7243,0,seen that hopefully ebay replacement will work for you but take it to bit anyway lol
7244,0,working my way through this casualty discography have to pull weed later
7245,0,aww that's sad i miss seeing you guy on the big screen
7246,1,hour fifteen drive just left bored and ate half my food already
7247,0,i'm just a couple bus stop away from an lc but i didn't realize that until about a month or so ago
7248,0,just finished an exam every else ha finished co i chose i different course to my friend i have one more exam on thurs next week
7249,1,is sooo much better than my biology score's so bad
7250,1,is back from the park and is very sunburnt cant wait night and is gonna get smashed bein sober jst wnt b a fun
7251,1,ouch i hate it when that happens
7252,0,i spoke but when nigga be looking at ya crazi all the time u just stop plus i always used to see yall when i just wanted
7253,1,ik i feel sooo bad for them
7254,1,i tried phoning you
7255,0,i'm working on working but it's not working
7256,1,what the hell is going on last night and this morning sucked more moving tonight
7257,0,resorted to eating mickey d alone
7258,1,i need a jb but i dread the fact that it will have to be retail this summer
7259,1,up and moving my dad home when he should be working im due to work at
7260,1,my invisibleshield ha gone a yellow pissy colour don't look good
7261,0,i'm exhausted new song quot one day quot on myspace check out
7262,1,i'm drawning in email
7263,1,no twang photopass for tonite
7264,0,good morning si ala it'll be time for me to say goodnight soon
7265,1,it didnt from research the traffic in this beautiful system of twitter is approx msg second mine only grab msg sec
7266,1,starting to get sad
7267,0,at ihop with the besties minus one where's the dr at work of course
7268,1,feel like death evil headache and need to pack and drive to parent bum
7269,1,memorizing the first line of the general prologue of the canterbury tale ughhh
7270,1,big header folio ha been up hour no sale yet i'm really impatient lol
7271,1,i reaaally need you
7272,1,that suck
7273,0,lol funny thing is i don't even know what class or even race half of the people in our group are yes i am that clueless
7274,1,oh marly i'm so sorry i hope you find her soon lt lt
7275,1,someone broke into my car big time having a really bad day
7276,1,the signal that make your internet quot go quot is pretty bad getting a tech out will get that fixed up though
7277,1,have you guy heard about the flu that's been going around swine flu hope you guy are safe there've been death already s
7278,0,follow friday b c she need more follower
7279,1,r i p sammie the cat
7280,0,ha ha thanks tom i'm such a loser hopefully going on the nd june till rd july what date u goin u missing helen x
7281,0,why doesnt joe sing in anything no affence nick but ur stealing the spotlight with guitar and singing
7282,1,pressly anne hamm miss her mommy while she is in texas
7283,0,omg the heater in my room ha been on all day while i wa at school amp now it's boiling
7284,0,yeah i got ur text well ive only been on summer break for a week and so far it been boring all i do is watch tennis match
7285,0,if you think florida's heat will be too much i will reluctantly take your place
7286,1,i had to postpone the photoshoot stupid wisconsin weather why can't it be sunny working out tanning preschool grad night then out
7287,1,i can't believe i thought i had a morning shift today and told alex that i could take him to the airport his flight is during my shift
7288,0,i ran out of space hugging jacob and edward is just by himself
7289,1,shit my neighbor dog just died it wa hit by a damn car feeling really sad
7290,1,at home have very sore foot and am sad because the sale of my grandas house just went through miss you
7291,1,did you get your free chocolate i still haven't gotten my email
7292,0,how did you swing those we didn't get that close
7293,0,haha yeah this is improving my nite big time i have to make a skype call soon tho so will have to tear myself away
7294,1,in the middle of breakfast the school called yep back to get shey again rd migraine this week or maybe one that never went away
7295,0,reminder are good speaking of which we haven't had a posture check in awhile
7296,0,i know
7297,0,just joined no one is following me
7298,1,how did i manage to schedule all my bill to eat my money all at the same time eve rent and phone are all within a couple day
7299,0,maaaaaan what a lovely day shame that the ice cream man near our workplace decided there wa business elsewhere before we got a
7300,0,i wanna do something tonight after work but i dunno what
7301,1,alcohol make me tired and i miss and want him so much it hurt
7302,1,ok so i'm twittin from my computer it gonna be bad when i get on my phone cause ima be lost like shit
7303,1,i really wish i wa spoiled
7304,1,rest in peace sheeba you will be very missed i'm off to go cry now
7305,0,i think i juz missed my last bus need to walk home sia
7306,0,it smell badly of garlic
7307,1,today is going to be a long day
7308,0,me ttooo
7309,0,yeah dude mike is out
7310,1,damn the right side of my earphone just stopped working all of a sudden now i need to buy new one
7311,1,ooh my icecream's gone oh no wait i got another box on the freezor yumm
7312,0,brought the sf fog to la
7313,1,last night in cork and come tomorrow i wont even remember it double sad face haha in the word on lily allen not fair
7314,0,curse firewall proxy server restriction it will have to wait until i get home
7315,1,i have never had a starbucks coffee in my entire life people keep making me jealous
7316,0,oh ouch that hurt damn washing machine is out to get me lt lt gt gt
7317,1,rt i have had few heart the past few day on etsy boo hoo totally the same for me too
7318,0,where ya at girlie haven't heard from you in a while missing your cheery disposition lol
7319,1,momma martini went food shopping without me
7320,0,i dont think so
7321,1,grrr stupid internet connection ruined a great scrabble game
7322,0,i want to go to my home d i don't like stay in the work all alone
7323,1,my whole body back pain treatment and detox start monday not looking forward to a summer of hot yoga and healthy food
7324,1,i dont think my twitpic is working
7325,1,just updated my to do list notepad need something else with flickr and downloads internet being slow and sluggish
7326,0,is sooo close to finishing her exam role on monday and i will have my life back
7327,0,father is staying home and conference calling sorry
7328,1,gotta drop off some car part for a buddy to press out then to the dentist
7329,1,hmmm i am very stuck i have uploaded a picture but it doesn't show up s i urgently need serious twitter help lol
7330,1,i think ive buggered up my mobile ack i am a stubborn arse and refuse to get a new one
7331,1,weekend is getting close too bad i'll be stuck up north hopefully i'll be able to get out next weekend for some real life fun
7332,0,
7333,0,outside for just about hour the sun wa bloody hot no tan wait for monday then will spend around hour outside
7334,1,ala the best i can offer is a small pony and a rowing boat
7335,0,it's pretty warm out now i forgot k wa sick though
7336,1,if they recorded it and sent it to people they obviously meant for it to get out there but if they didn't i feel bad
7337,0,don't count on it
7338,1,have to put my dog down tomorrow
7339,0,shower before doctor's appointment
7340,1,my sunglass broke
7341,0,ahh but but haha they're so cute together gt lt cutest couple really he's so sweet
7342,1,i lost my nintendogs it's very upsetting
7343,0,can't believe how gorgeous the weather ha been today amp i've had to spend it at work
7344,1,geez i'm hating bein at work till on a day like this i feel like it a wasted lovley day
7345,0,the pool doesnt open til tomorrow
7346,1,ha a bad headache
7347,1,i know it's sad but back in the auto industry didn't understand that iphones would change our life
7348,1,i have three hour to do my hair and it still won't be straight
7349,0,i told myself i wasn't gonna cry and then one kid that everyone made fun of all year said quot it's been a good year quot
7350,1,so sorry i just found the member preview ha been sold out for awhile it open at noon to the general public
7351,1,exhausted and sick my face is greenish
7352,1,waiting for aaron to get into town and then leave him for work booo
7353,1,doe not feel like babysitting i want to go to the gym weird i know i miss zack
7354,0,it friday only more hour until i'm free until tomorrow oh well
7355,1,i hope amy is okai
7356,1,i am so stressed and sad about pugsly missing i hope he okay i am stuck at otrip and cant look for him someone post his pic on fb me
7357,0,i'm sitting in altanta it's raining in boston yay for flying in the rain that should help with my fear
7358,1,unfortunately no
7359,0,i'm trying in lot of pain though
7360,1,bro martin i need you to repent pam said we were going to get to meet you last wknd
7361,1,woooooow i wanna join the maseera but on bed rest can't drive r thy going crazy or it the boring type
7362,1,bleargh i can never clean a much of my house a i want to before work no matter how early i wake up today sink laundry
7363,0,the young lady in the local chinese taking order is it ha to be said very cute indeed pity i'm probably twice her age
7364,1,i don't even look at their fabric unless i need polar fleece it's worth the extra to go to needle and thread
7365,0,it mean quot luv ya quot in zulu xhosa probably spelt it wrong lol can't b creative day tired so translated
7366,0,i know that feeling
7367,1,today in the friendly game one asshole hit me in the knee now i'm lying in bed with a heating cream stink and ice bore very much
7368,1,well paisley ha one of those cone thing around her head so funny but i feel bad for her
7369,0,everyone is so sad about the no touching rule you still get to see them more than most of u get
7370,1,yeah man they brought it back on the market a couple year ago it scarce through
7371,1,dont depress me i have the mother in law staying the weekend someone else to wait on other than the kid
7372,1,sorry but i'm not impressed in the slightest b c u don't eat pussy more like saddened and confused
7373,1,omg the lg kc touchscreen fone is such a pile of shite roll on new contract in month
7374,1,why is it so cold
7375,0,i wana be there num fan sharsies
